1.8207  0.0282 
2.0007  0.0008 
2.1610  0.2116 
2.2420  0.0417 
2.4054  0.2227 
2.4665  0.0624 
2.5511  0.0074 
2.6158  0.1044 
2.7351  0.0024 
2.7480  0.0280 
2.7794  0.7099 
2.8093  0.0301 
2.8394  0.0582 
2.9154  0.0870 
3.0272  0.0018 
3.0378  0.0061 
3.0670  0.0038 
3.1070  0.0009 
3.1386  0.0048 
3.1743  0.0072 
3.1960  0.0258 
3.2193  0.0179 
3.3109  0.0824 
3.3352  0.1308 
3.3657  0.0774 
3.3923  0.0125 
3.4232  0.0089 
3.4422  0.0337 
3.5283  0.0105 
3.5311  0.0125 
3.5651  0.0046 
3.6232  0.0051 
3.6405  0.0346 
3.6434  0.1119 
3.6743  0.0012 
3.7075  0.0001 
3.7152  0.0504 
3.7668  0.0004 
3.7945  0.0032 
3.8425  0.0125 
3.8584  0.0327 
3.8694  0.0105 
3.9418  0.0036 
3.9593  0.0567 
3.9660  0.0021 
3.9825  0.0238 
4.0120  0.0270 
4.0368  0.1536 
4.0446  0.0042 
4.0519  0.0126 
4.0628  0.0253 
4.0911  0.0075 
4.1064  0.0291 
4.1436  0.0556 
4.1916  0.1152 
4.1993  0.0080 
4.2106  0.1178 
4.2290  0.0335 
4.2436  0.0585 
4.2456  0.0071 
4.2819  0.0220 
4.2862  0.0334 
4.2930  0.0008 
4.3121  0.0297 
4.3186  0.0156 
4.3306  0.0004 
4.3401  0.0028 
4.3406  0.0478 
4.3620  0.0032 
4.3821  0.0038 
4.3983  0.0004 
4.4032  0.0000 
4.4273  0.0007 
4.4400  0.0253 
4.4507  0.0084 
4.4647  0.0488 
4.5150  0.0083 
4.5353  0.0277 
4.5491  0.0019 
4.5582  0.0024 
